t_s,left_rpm,right_rpm,center_speed_mps,encoder_speed_fit_mps,imu_accel_mps2,encoder_accel_raw_mps2,imu_accel_fit_mps2,imu_accel_calibrated_fit_mps2,encoder_accel_fit_mps2,fitted_accel_mps2
-0.7,0,0,0,0,-0.034,0,-0.012095876,0.050255726,0,0.025127863
-0.69,0,0,0,0,-0.018,0,-0.008926587,0.052004816,0,0.026002408
-0.68,0,0,0,0,0.014,0,-0.0064696003,0.053360795,0,0.026680398
-0.67,0,0,0,0,0.008,0,-0.0044266389,0.054488279,0,0.02724414
-0.66,0,0,0,0,0.03,0,-0.002683181,0.055450471,0,0.027725236
-0.65,0,0,0,0,-0.002,0,-0.0012515665,0.056240561,0,0.028120281
-0.64,0,0,0,0,-0.006,0,-0.00014360016,0.056852034,0,0.028426017
-0.63,0,0,0,0,-0.013,0,0.00067318649,0.057302808,0,0.028651404
-0.62,0,0,0,0,0.001,0,0.0012603969,0.057626881,0,0.028813441
-0.61,0,0,0,0,-0.02,0,0.0017019304,0.057870558,0,0.028935279
-0.6,0,0,0,0,0,0,0.0020373301,0.058055661,0,0.02902783
-0.59,0,0,0,0,0.012,0,0.0022937625,0.058197183,0,0.029098591
-0.58,0,0,0,0,0.014,0,0.0024880278,0.058304395,0,0.029152198
-0.57,0,0,0,0,0.004,0,0.0026153749,0.058374676,0,0.029187338
-0.56,0,0,0,0,0.006,0,0.0026676559,0.05840353,0,0.029201765
-0.55,0,0,0,0,0.004,0,0.0026347957,0.058385395,0,0.029192697
-0.54,0,0,0,0,-0.007,0,0.002550467,0.058338855,0,0.029169427
-0.53,0,0,0,0,-0.005,0,0.0024702365,0.058294576,0,0.029147288
-0.52,0,0,0,0,0.024,0,0.0024613098,0.05828965,0,0.029144825
-0.51,0,0,0,0,0.001,0,0.0025651029,0.058346932,0,0.029173466
-0.5,0,0,0,0,-0.002,0,0.0027698596,0.058459935,0,0.029229967
-0.49,0,0,0,0,-0.006,0,0.0030245035,0.058600469,0,0.029300235
-0.48,0,0,0,0,-0.005,0,0.0032584167,0.058729563,0,0.029364781
-0.47,0,0,0,0,-0.007,0,0.0033800906,0.058796713,0,0.029398357
-0.46,0,0,0,0,0.017,0,0.0033534217,0.058781995,0,0.029390997
-0.45,0,0,0,0,0.02,0,0.0032216611,0.058709278,0,0.029354639
-0.44,0,0,0,0,0,0,0.0030698972,0.058625521,0,0.029312761
-0.43,0,0,0,0,0,0,0.0029830455,0.058577589,0,0.029288795
-0.42,0,0,0,0,0.006,0,0.002985108,0.058578727,0,0.029289364
-0.41,0,0,0,0,-0.019,0,0.0030057565,0.058590123,0,0.029295062
-0.4,0,0,0,0,0.012,0,0.0029804387,0.05857615,0,0.029288075
-0.39,0,0,0,0,0,0,0.0028454409,0.058501647,0,0.029250823
-0.38,0,0,0,0,-0.002,0,0.0024924216,0.05830682,0,0.02915341
-0.37,0,0,0,0,0.013,0,0.0018445987,0.057949295,0,0.028974647
-0.36,0,0,0,0,0.005,0,0.00090567984,0.057431118,0,0.028715559
-0.35,0,0,0,0,0.029,0,-0.00032156244,0.056753818,0,0.028376909
-0.34,0,0,0,0,-0.005,0,-0.0017607321,0.055959559,0,0.02797978
-0.33,0,0,0,0,-0.004,0,-0.0032228648,0.055152627,0,0.027576313
-0.32,0,0,0,-1.3217202e-46,-0.024,0,-0.0045143149,0.054439892,1.2779557e-45,0.027219946
-0.31,0,0,0,-4.2958604e-06,-0.018,0,-0.0055744826,0.053854799,4.6580873e-05,0.02695069
-0.3,0,0,0,-2.3839926e-05,0.004,0,-0.0066986816,0.053234368,0.00029551622,0.026764942
