t_s,left_rpm,right_rpm,center_speed_mps,encoder_speed_fit_mps,imu_accel_mps2,encoder_accel_raw_mps2,imu_accel_fit_mps2,imu_accel_calibrated_fit_mps2,encoder_accel_fit_mps2,fitted_accel_mps2
-0.7,0,0,0,0,-0.011,0,-0.013543309,0.05923212,0,0.02961606
-0.69,0,0,0,0,-0.006,0,-0.013021402,0.059513848,0,0.029756924
-0.68,0,0,0,0,-0.025,0,-0.012429703,0.059833251,0,0.029916625
-0.67,0,0,0,0,-0.016,0,-0.011726005,0.060213111,0,0.030106556
-0.66,0,0,0,0,-0.003,0,-0.010927813,0.06064398,0,0.03032199
-0.65,0,0,0,0,-0.019,0,-0.010112057,0.06108433,0,0.030542165
-0.64,0,0,0,0,-0.011,0,-0.0093660134,0.061487049,0,0.030743525
-0.63,0,0,0,0,0.009,0,-0.008751627,0.061818698,0,0.030909349
-0.62,0,0,0,0,-0.019,0,-0.0082799364,0.06207332,0,0.03103666
-0.61,0,0,0,0,-0.017,0,-0.0079383774,0.062257696,0,0.031128848
-0.6,0,0,0,0,0.006,0,-0.0077013163,0.062385663,0,0.031192831
-0.59,0,0,0,0,0.005,0,-0.007523147,0.062481839,0,0.03124092
-0.58,0,0,0,0,-0.017,0,-0.0073542682,0.062573001,0,0.031286501
-0.57,0,0,0,0,-0.021,0,-0.0071366495,0.062690473,0,0.031345237
-0.56,0,0,0,0,-0.011,0,-0.0068490133,0.062845741,0,0.03142287
-0.55,0,0,0,0,0.003,0,-0.006525663,0.063020287,0,0.031510144
-0.54,0,0,0,0,0.005,0,-0.0062106204,0.063190349,0,0.031595175
-0.53,0,0,0,0,-0.001,0,-0.0059279059,0.06334296,0,0.03167148
-0.52,0,0,0,0,-0.005,0,-0.0056787176,0.063477473,0,0.031738737
-0.51,0,0,0,0,-0.001,0,-0.0054346986,0.063609196,0,0.031804598
-0.5,0,0,0,0,-0.016,0,-0.0051637744,0.063755443,0,0.031877721
-0.49,0,0,0,0,-0.015,0,-0.0048518646,0.063923814,0,0.031961907
-0.48,0,0,0,0,-0.004,0,-0.0044954155,0.064116227,0,0.032058113
-0.47,0,0,0,0,-0.022,0,-0.0041081443,0.064325278,0,0.032162639
-0.46,0,0,0,0,0.003,0,-0.0037196762,0.064534976,0,0.032267488
-0.45,0,0,0,0,-0.003,0,-0.0033728255,0.064722208,0,0.032361104
-0.44,0,0,0,0,0.001,0,-0.0031208488,0.064858226,0,0.032429113
-0.43,0,0,0,0,0.007,0,-0.0030263866,0.064909218,0,0.032454609
-0.42,0,0,0,0,-0.005,0,-0.0030978205,0.064870657,0,0.032435329
-0.41,0,0,0,0,0.002,0,-0.0032306281,0.064798967,0,0.032399483
-0.4,0,0,0,0,0.008,0,-0.0032399406,0.06479394,0,0.03239697
-0.39,0,0,0,0,-0.003,0,-0.002995778,0.06492574,0,0.03246287
-0.38,0,0,0,0,0.001,0,-0.0024948264,0.065196157,0,0.032598079
-0.37,0,0,0,0,-0.022,0,-0.0018176853,0.065561682,0,0.032780841
-0.36,0,0,0,0,-0.013,0,-0.0011287901,0.065933552,0,0.032966776
-0.35,0,0,0,0,0.015,0,-0.00060485523,0.066216375,0,0.033108187
-0.34,0,0,0,0,0.015,0,-0.00029248295,0.066384995,0,0.033192498
-0.33,0,0,0,0,0.006,0,0.00016290946,0.066630819,0,0.033315409
-0.32,0,0,0,0,0.006,0,0.0013918902,0.06729423,0,0.033647115
-0.31,0,0,0,5.3651649e-06,-0.015,0,0.0033086364,0.068328901,-5.8390181e-05,0.034135255
-0.3,0,0,0,2.0082114e-05,-0.017,0,0.0057737445,0.069659581,-0.00026485861,0.034697361
-0.29,0,0,0,-1.7940151e-07,-0.003,0,0.008497579,0.071129923,-0.00016555171,0.035482186
-0.28,0,0,0,-0.00011029798,-0.005,0,0.011356474,0.072673172,0.0010573426,0.036865257
-0.27,0,0,0,-0.00032279227,0.005,0,0.013729065,0.073953911,0.0040791878,0.039016549
-0.26,0,0,0,-0.00058249623,0.013,0,0.014494547,0.074367123,0.0089840312,0.041675577
-0.25,0,0,0,-0.00080627287,0.01,0,0.012728667,0.07341389,0.015426012,0.044419951
-0.24,0,0,0,-0.00091085598,0.027,0,0.0081074789,0.070919345,0.022791622,0.046855484
-0.23,0,0,0,-0.00082679137,0.073,0,0.0013328991,0.067262386,0.030273952,0.048768169
-0.22,0,0,0,-0.00053642671,0.045,0,-0.0060141023,0.063296431,0.037300854,0.050298642
-0.21,0,0,0,-6.4524934e-05,0.002,0,-0.011990262,0.060070464,0.043622736,0.0518466
-0.2,0,0,0,0.00055123332,-0.035,0,-0.014896261,0.058501788,0.049126893,0.053814341
-0.19,0,0,0,0.0012442011,-0.037,0,-0.01372652,0.059133222,0.054112676,0.056622949
-0.179,0,0,0,0.0020207342,0.03,0,-0.007354206,0.062573035,0.05961073,0.061091882
-0.17,0,0,0,0.0026277979,0.048,-0.080606654,0.0016052371,0.067409396,0.064652388,0.066030892
-0.16,0,0,0,0.0032609389,0.105,0.068067841,0.015034232,0.074658448,0.071297617,0.072978033
-0.15,0,0,0,0.0038669995,0.116,0.37437312,0.031679988,0.083643927,0.079366486,0.081505206
-0.14,4,-9,-0.0085084801,0.0045019518,0.099,0.44244097,0.050862686,0.093998862,0.088797399,0.091398131
-0.13,13,-4,0.015315264,0.0052309972,-0.051,0.30630528,0.071268203,0.10501388,0.099278275,0.10214608
-0.12,13,0,0.022122048,0.0060981638,-0.562,0.2552544,0.091026946,0.11567977,0.11053767,0.11310872
-0.11,13,0,0.022122048,0.0071319744,0.34,0.10210176,0.10871293,0.12522677,0.12222463,0.1237257
-0.1,9,-4,0.0085084801,0.0083165476,-0.212,-0.28928832,0.12337208,0.13313987,0.13424509,0.13369248
-0.09,9,-4,0.0085084801,0.0096132555,0.153,-0.35735616,0.13483214,0.13932608,0.14673392,0.14303
