t_s,left_rpm,right_rpm,center_speed_mps,encoder_speed_fit_mps,imu_accel_mps2,encoder_accel_raw_mps2,imu_accel_fit_mps2,imu_accel_calibrated_fit_mps2,encoder_accel_fit_mps2,fitted_accel_mps2
-0.12,4,0,0.0068067841,0.0028299338,-0.002,0.068067841,0.053138623,0.087824544,0.11619672,0.10201063
-0.11,0,0,0,0.0039556615,-0.037,0.15315264,0.06639717,0.098828194,0.13232871,0.11557845
-0.1,0,0,0,0.0052671328,-0.075,0.085084801,0.082617655,0.11229004,0.14920775,0.1307489
-0.09,4,0,0.0068067841,0.00676004,0.113,0.13613568,0.10175422,0.12817203,0.16680815,0.14749009
-0.08,9,0,0.015315264,0.0084300963,0.425,0.28928832,0.12383817,0.14650013,0.18511528,0.1658077
-0.07,4,0,0.0068067841,0.010235537,0.175,0.23823744,0.14896464,0.16735332,0.20458867,0.18597099
-0.06,4,4,0.013613568,0.012163255,0.106,0.15315264,0.17725536,0.1908326,0.22560499,0.20821879
-0.05,9,0,0.015315264,0.014263393,0.133,0.22122048,0.20857777,0.21682797,0.24797704,0.23240251
-0.04,9,0,0.015315264,0.016596035,0.134,0.23823744,0.24225552,0.24477811,0.27131554,0.25804682
-0.03,9,4,0.022122048,0.019219249,0.173,0.15315264,0.27722145,0.27379734,0.29511416,0.28445575
-0.02,9,4,0.022122048,0.022165967,0.192,0.28928832,0.31261804,0.30317399,0.31899425,0.31108412
-0.01,9,4,0.022122048,0.025436194,0.23,0.45945793,0.34770339,0.33229233,0.34286006,0.3375762
0,9,4,0.022122048,0.029021224,0.193,0.39139008,0.38220102,0.36092291,0.3666738,0.36379835
0.01,13,9,0.037437312,0.032894999,0.335,0.30630528,0.41609573,0.3890531,0.39044842,0.38975076
0.02,18,9,0.045945793,0.037035385,1.022,0.39139008,0.44944234,0.41672842,0.41392953,0.41532897
0.03,13,9,0.037437312,0.041443397,0.722,0.45945793,0.4818744,0.44364472,0.43670893,0.44017682
0.04,13,9,0.037437312,0.046126796,0.812,0.35735616,0.51274785,0.46926748,0.45826873,0.4637681
